code,malepop,femalepop,totalpop,setai,inc_mov_dom,inc_mov_intl,inc_born,inc_other,dec_mov_dom,dec_mov_intl,dec_deaths,dec_other
282081,13112,13946,27058,12999,668,133,116,2,783,72,473,1
282090,36176,39001,75177,33792,1599,281,355,5,2090,223,1300,24
282103,125802,131401,257203,119566,7394,704,1571,63,7539,403,3167,111
282120,21374,22805,44179,20632,1050,129,191,4,1267,101,636,7
282138,18118,19570,37688,17288,919,157,162,2,1055,93,581,8
282146,105391,122254,227645,107265,7482,915,1166,38,7503,646,2671,70
282154,35318,37773,73091,34872,2033,479,298,68,2384,329,1049,53
282162,42017,44494,86511,40644,2369,449,501,16,2851,172,1122,39
282171,72076,80838,152914,71843,4684,528,790,37,4971,250,1931,44
282189,22943,23882,46825,20885,1436,268,204,6,1481,203,564,7
282197,51481,55001,106482,47481,3188,424,478,26,3529,249,1036,28
282201,20386,21069,41455,18591,1148,273,171,23,1213,276,599,16
282219,18791,20304,39095,17837,1001,214,194,8,1222,118,615,14
282227,10090,10915,21005,9041,319,45,90,0,483,24,425,6
282235,28990,31043,60033,26463,1323,280,294,5,1545,217,970,34
282243,21079,22653,43732,19968,1040,304,158,8,1331,136,746,34
282251,13352,14402,27754,12232,644,77,114,4,822,61,424,17
282260,19798,21566,41364,20439,1193,359,167,8,1433,88,786,25
282278,16224,17525,33749,14577,547,72,142,15,890,78,628,3
282286,19526,19887,39413,17794,1537,653,285,15,1948,272,483,55
282294,35096,37175,72271,31485,1654,291,338,6,1961,202,1024,32
283002,13639,15005,28644,12476,610,63,69,2,820,47,330,3
283011,13639,15005,28644,12476,610,63,69,2,820,47,330,3
283606,9086,9519,18605,7711,325,103,48,2,460,47,321,11
283657,9086,9519,18605,7711,325,103,48,2,460,47,321,11
283801,31963,33215,65178,29030,1980,175,418,18,1993,146,760,29
283819,15002,15489,30491,13305,894,107,178,8,814,80,383,18
283827,16961,17726,34687,15725,1086,68,240,10,1179,66,377,11
284408,19009,20368,39377,17192,985,232,179,4,1303,166,590,19
284424,5211,5449,10660,4862,186,33,28,2,272,25,182,7
284432,8977,9596,18573,8114,626,120,115,1,693,112,239,12
284467,4821,5323,10144,4216,173,79,36,1,338,29,169,0
284602,16369,17045,33414,14281,1060,89,205,11,1071,58,381,18
284645,16369,17045,33414,14281,1060,89,205,11,1071,58,381,18
284807,6625,6918,13543,6354,281,46,34,1,453,41,235,3
284815,6625,6918,13543,6354,281,46,34,1,453,41,235,3
