code,totalpop,malepop,femalepop
08521,20050,10520,9530
08542,7502,3834,3668
08546,23926,12162,11764
08564,14868,7293,7575
09000,1864833,931188,933645
09201,511733,256130,255603
09202,135879,67159,68720
09203,148312,73851,74461
09204,109814,54400,55414
09205,89360,44355,45005
09206,71674,34788,36886
09208,165528,83656,81872
09209,75822,38365,37457
09210,68438,33675,34763
09211,28877,14419,14458
09213,112562,55869,56693
09214,44192,22827,21365
09215,22164,11020,11144
09216,58995,29080,29915
09301,29749,15310,14439
09342,20124,9996,10128
09343,10531,5237,5294
09344,10517,5327,5190
09345,14809,7563,7246
09361,38047,18705,19342
09364,24534,12188,12346
09384,9111,4568,4543
09386,28480,14976,13504
09407,22211,10985,11226
09411,13370,6739,6631
10000,1867582,922992,944590
10201,324554,158432,166122
10202,363801,177872,185929
10203,97223,46900,50323
10204,208263,104175,104088
10205,219439,112177,107262
10206,41287,20126,21161
10207,72835,36394,36441
10208,70325,34244,36081
10209,59385,28850,30535
10210,43789,21564,22225
10211,50704,24883,25821
10212,48198,23366,24832
10344,14074,7164,6910
10345,22900,11235,11665
10366,972,488,484
10367,1298,624,674
10382,5460,2682,2778
10383,1273,604,669
10384,11798,5844,5954
10421,13889,6738,7151
10424,4844,2431,2413
10425,8188,4223,3965
10426,5748,2935,2813
10428,3097,1532,1565
10429,11256,5554,5702
10443,3554,1783,1771
10444,3137,1433,1704
10448,6687,3374,3313
10449,15747,7726,8021
10464,34836,17094,17742
10521,12677,6371,6306
10522,10310,5122,5188
10523,10336,5208,5128
10524,41430,21699,19731
10525,24268,12145,12123
11000,7287169,3607158,3680011
11100,1345016,660268,684748
11101,94098,45648,48450
11102,147468,71590,75878
11103,125310,62067,63243
11104,166998,81489,85509
11105,103816,51049,52767
11106,98914,49620,49294
11107,169458,81874,87584
11108,196111,97157,98954
11109,132329,65087,67242
11110,110514,54687,55827
11201,354793,175930,178863
11202,188262,94022,94240
11203,592007,297478,294529
11206,76179,37472,38707
11207,54646,26657,27989
11208,342575,167331,175244
11209,77669,38856,38813
11210,109633,55062,54571
11211,76392,38162,38230
11212,91615,45944,45671
11214,222817,109202,113615
11215,142751,70518,72233
11216,52238,26035,26203
11217,115548,56842,58706
11218,138493,68818,69675
11219,224800,110332,114468
11221,251122,125937,125185
11222,341602,167214,174388
11223,75510,38193,37317
11224,139164,68966,70198
11225,140180,68682,71498
11227,147109,73932,73177
11228,75032,36761,38271
11229,83636,42868,40768
11230,164698,81142,83556
11231,73010,35783,37227
11232,147159,72701,74458
11233,64222,31371,32851
11234,93386,47742,45644
11235,112824,55056,57768
11237,140579,70444,70135
11238,60443,29736,30707
11239,99389,49373,50016
11240,47634,23682,23952
11241,70693,34952,35741
11242,53431,26356,27075
11243,71328,35277,36051
11245,112433,55114,57319
11246,51485,25278,26207
11301,44450,22277,22173
11324,37481,18258,19223
11326,33221,16469,16752
11327,10231,5032,5199
11341,19908,10127,9781
11342,17346,8622,8724
11343,26273,13082,13191
11346,17882,9051,8831
11347,16840,8503,8337
11348,12649,6094,6555
11349,9806,4947,4859
11361,7227,3555,3672
11362,8430,4165,4265
11363,6101,2968,3133
11365,9431,4656,4775
11369,2293,1131,1162
11381,10317,5176,5141
11383,12488,6321,6167
11385,29618,14650,14968
11408,30680,15194,15486
11442,33535,16780,16755
11464,42582,21123,21459
11465,26877,13488,13389
12000,6258512,3094053,3164459
12100,994970,490242,504728
12101,226620,113797,112823
12102,177681,86969,90712
12103,160643,79858,80785
12104,145445,72442,73003
